88,6654,-4758,-1178,-12,-6,-3,300,304,289
10152,6576,-4678,-1204,-19,8,2,299,304,324
16396,6576,-4678,-1204,-19,8,2,308,303,283
22636,6640,-4728,-1228,-6,25,-14,286,302,248
29032,6640,-4728,-1228,-6,25,-14,311,306,375
35428,6640,-4728,-1228,-6,25,-14,304,304,275
41828,6742,-4764,-1140,-20,23,-16,299,301,297
48308,6742,-4764,-1140,-20,23,-16,308,304,300
54796,6724,-4654,-1182,-19,-11,9,305,301,266
61208,6724,-4654,-1182,-19,-11,9,305,305,351
67604,6724,-4654,-1182,-19,-11,9,309,302,272
74032,6598,-4690,-1176,-8,-7,13,300,303,272
80340,6598,-4690,-1176,-8,-7,13,306,302,342
86656,6598,-4690,-1176,-8,-7,13,297,303,248
92976,6606,-4632,-1198,2,3,13,299,304,301
99116,6606,-4632,-1198,2,3,13,309,302,302
105272,6606,-4632,-1198,2,3,13,300,301,258
111484,6728,-4708,-1098,1,16,0,305,305,337
117700,6728,-4708,-1098,1,16,0,311,302,268
123920,6728,-4708,-1098,1,16,0,302,302,260
130128,6686,-4740,-1120,-22,12,0,309,306,333
136504,6686,-4740,-1120,-22,12,0,306,303,275
142896,6636,-4614,-1200,-15,-6,10,296,305,311
149364,6636,-4614,-1200,-15,-6,10,306,303,279
155836,6636,-4614,-1200,-15,-6,10,301,303,248
162288,6626,-4698,-1204,-2,20,7,305,306,379
168572,6626,-4698,-1204,-2,20,7,306,304,272
174872,6626,-4698,-1204,-2,20,7,296,303,294
181172,6692,-4682,-1224,-3,18,12,311,303,292
187560,6692,-4682,-1224,-3,18,12,302,304,267
193944,6692,-4682,-1224,-3,18,12,305,305,340
200324,6744,-4646,-1162,-2,-1,2,309,303,274
206620,6744,-4646,-1162,-2,-1,2,298,303,270
212920,6818,-4680,-1202,-2,-1,2,309,306,361
219212,6818,-4680,-1202,-34,-1,-2,304,302,259
225676,6818,-4680,-1202,-34,-1,-2,299,303,305
232136,6796,-4620,-1220,-9,4,-9,308,303,296
238428,6796,-4620,-1220,-9,4,-9,302,302,246
244728,6796,-4620,-1220,-9,4,-9,304,304,364
251028,6528,-4640,-1240,1,-16,7,309,304,266
257332,6528,-4640,-1240,1,-16,7,301,299,252
263612,6528,-4640,-1240,1,-16,7,311,306,356
269900,6508,-4594,-1240,-17,-11,3,307,302,271
276372,6508,-4594,-1240,-17,-11,3,296,304,320
282832,6508,-4594,-1240,-17,-11,3,307,303,269
289312,6622,-4652,-1212,5,38,-12,300,302,253
295684,6622,-4652,-1212,5,38,-12,309,307,367
302060,6840,-4700,-1142,9,13,-4,312,302,257
308356,6840,-4700,-1142,9,13,-4,296,302,296
