88,6878,-4520,-1018,-3,12,-4,307,302,305
10068,6748,-4514,-920,29,5,6,301,301,296
16132,6748,-4514,-920,29,5,6,304,306,324
22200,6748,-4514,-920,29,5,6,306,302,292
28288,6618,-4536,-900,12,22,10,301,302,304
34540,6618,-4536,-900,12,22,10,307,305,301
40796,6618,-4536,-900,12,22,10,306,302,295
47036,6694,-4496,-830,1,45,4,300,303,318
53092,6694,-4496,-830,1,45,4,308,304,321
59164,6888,-4630,-848,-15,42,0,299,303,286
65404,6888,-4630,-848,-15,42,0,303,304,316
71628,6888,-4630,-848,-15,42,0,308,304,294
77876,6974,-4532,-912,-22,11,22,301,301,298
84204,6974,-4532,-912,-22,11,22,304,305,318
90544,6974,-4532,-912,-22,11,22,303,298,290
96880,6808,-4564,-830,-4,-5,39,302,304,316
103112,6808,-4564,-830,-4,-5,39,310,304,306
109428,6808,-4564,-830,-4,-5,39,303,303,278
115728,6654,-4628,-948,-20,11,30,301,304,312
122116,6654,-4628,-948,-20,11,30,307,303,295
128500,6654,-4628,-948,-20,11,30,302,301,304
134892,6772,-4640,-956,-22,32,5,308,305,325
141200,6772,-4640,-956,-22,32,5,305,302,278
147516,6812,-4678,-876,-10,24,-2,302,304,302
153884,6812,-4678,-876,-10,24,-2,307,303,293
160268,6812,-4678,-876,-10,24,-2,298,302,301
166652,6886,-4664,-974,-40,34,-7,305,304,309
173036,6886,-4664,-974,-40,34,-7,305,302,302
179428,6886,-4664,-974,-40,34,-7,303,303,307
185816,6906,-4622,-954,-35,15,6,308,302,285
192116,6906,-4622,-954,-35,15,6,303,302,296
198424,6906,-4622,-954,-35,15,6,302,303,320
204732,6768,-4584,-938,-20,1,15,307,304,298
211052,6768,-4584,-938,-20,1,15,301,301,299
217368,6768,-4584,-938,-20,1,15,306,305,309
223668,6810,-4514,-816,-68,-63,15,304,303,309
230140,6810,-4514,-816,-68,-63,15,301,302,309
236612,6878,-4530,-1058,-45,-72,22,303,303,303
243164,6878,-4530,-1058,-45,-72,22,300,302,299
249728,6878,-4530,-1058,-45,-72,22,304,304,319
256288,6614,-4452,-1104,-51,-56,38,304,303,293
262856,6614,-4452,-1104,-51,-56,38,302,303,301
269420,6614,-4452,-1104,-51,-56,38,308,304,279
275972,6652,-4472,-1092,-17,-70,41,303,302,305
282532,6652,-4472,-1092,-17,-70,41,304,304,332
289088,6608,-4494,-946,-2,-80,50,305,304,292
295472,6608,-4494,-946,-2,-80,50,301,302,309
301860,6608,-4494,-946,-2,-80,50,307,305,309
308240,6590,-4536,-860,-24,-48,51,303,302,303
314712,6590,-4536,-860,-24,-48,51,302,302,310
321184,6590,-4536,-860,-24,-48,51,307,304,304
327652,6654,-4586,-1008,-49,-39,50,302,302,298
334212,6654,-4586,-1008,-49,-39,50,304,303,321
340780,6654,-4586,-1008,-49,-39,50,302,302,290
347340,6706,-4650,-1036,-17,-69,56,303,304,327
353876,6706,-4650,-1036,-17,-69,56,306,302,292
360428,6692,-4660,-924,-15,-161,73,303,303,298
366984,6692,-4660,-924,-15,-161,73,306,304,314
373560,6692,-4660,-924,-15,-161,73,305,302,302
380120,6464,-4584,-1124,-47,-92,74,302,303,308
386676,6464,-4584,-1124,-47,-92,74,308,303,316
393236,6464,-4584,-1124,-47,-92,74,302,302,267
399792,6510,-4658,-1206,-4,14,65,305,304,319
406172,6510,-4658,-1206,-4,14,65,305,302,299
412580,6698,-4830,-1066,77,-8,39,323,301,309
418972,6698,-4830,-1066,77,-8,39,304,305,275
425356,6698,-4830,-1066,77,-8,39,308,302,295
431732,6868,-4932,-880,10,-29,18,305,302,313
438124,6868,-4932,-880,10,-29,18,306,306,295
444508,6868,-4932,-880,10,-29,18,303,302,296
